data, bandwidth
ask|2 1|DEPOSIT m 2|1|2|1681479835.9055538|                                                                                     ,948535.1802120141
feedback|3 1|1|2|2|1681479835.9061754|                                                                                          ,588029.4764512596
ask|3 1|DEPOSIT y 3|1|2|1681479835.9062595|                                                                                     ,189774.09402615766
feedback|2 1|1|3|2|1681479835.9067788|                                                                                          ,239140.7180400891
ask|2 1|DEPOSIT m 2|1|2|1681479835.9055538|                                                                                     ,18311.365053378355
feedback|1 1|2|2|2|1681479835.9136147|                                                                                          ,38799.66119823661
ask|1 1|DEPOSIT w 15|1|2|1681479835.9137113|                                                                                    ,36870.46988531008
feedback|3 1|1|2|2|1681479835.9061754|                                                                                          ,11308.735560517336
feedback|1 1|2|3|2|1681479835.9171262|                                                                                          ,229236.0853970965
ask|3 1|DEPOSIT y 3|1|2|1681479835.9062595|                                                                                     ,10987.043876882777
feedback|3 1|1|1|2|1681479835.9176986|                                                                                          ,343487.4676903391
feedback|2 1|1|3|2|1681479835.9067788|                                                                                          ,11099.942357392438
decided|2 1|2|1|2|1681479835.918044|                                                                                            ,249128.03341067286
feedback|1 1|2|2|2|1681479835.9136147|                                                                                          ,23946.071008028546
feedback|2 1|2|1|2|1681479835.9180977|                                                                                          ,103623.02875892684
ask|1 1|DEPOSIT w 15|1|2|1681479835.9137113|                                                                                    ,21257.163129553373
decided|3 1|1|1|2|1681479835.9186614|                                                                                           ,86175.1062600321
feedback|1 1|2|3|2|1681479835.9171262|                                                                                          ,39504.85003679176
feedback|3 1|1|1|2|1681479835.9176986|                                                                                          ,41926.66239750098
decided|2 1|2|1|2|1681479835.918044|                                                                                            ,39794.745534059744
feedback|2 1|2|1|2|1681479835.9180977|                                                                                          ,33609.046700888946
decided|3 1|1|1|2|1681479835.9186614|                                                                                           ,35223.12767353366
decided|1 1|2|2|2|1681479835.9234076|                                                                                           ,1036430.3320463321
decided|1 1|2|2|2|1681479835.9234076|                                                                                           ,1111533.9792960663
feedback|1 2|3|2|2|1681479836.5613117|                                                                                          ,486296.115942029
ask|1 2|DEPOSIT b 3|2|2|1681479836.56137|                                                                                       ,141691.9799419372
feedback|1 2|3|2|2|1681479836.5613117|                                                                                          ,870131.1377633711
feedback|1 2|3|3|2|1681479836.5620465|                                                                                          ,194166.6951175407
ask|1 2|DEPOSIT b 3|2|2|1681479836.56137|                                                                                       ,26947.2926768057
decided|1 2|3|2|2|1681479836.5657852|                                                                                           ,366214.81036834925
feedback|1 2|3|3|2|1681479836.5620465|                                                                                          ,25759.087995393915
decided|1 2|3|2|2|1681479836.5657852|                                                                                           ,66362.28825710755
feedback|1 3|4|2|2|1681479837.3707519|                                                                                          ,249475.33085501858
feedback|1 3|4|2|2|1681479837.3707519|                                                                                          ,341955.9949044586
ask|1 3|DEPOSIT e 82|3|2|1681479837.3711107|                                                                                    ,45497.53491525424
feedback|1 3|4|3|2|1681479837.3736343|                                                                                          ,38375.33323802716
ask|1 3|DEPOSIT e 82|3|2|1681479837.3711107|                                                                                    ,15543.904340021425
decided|1 3|4|2|2|1681479837.3820279|                                                                                           ,473014.01938325993
feedback|1 3|4|3|2|1681479837.3736343|                                                                                          ,15846.716609108887
decided|1 3|4|2|2|1681479837.3820279|                                                                                           ,54582.2399349329
ask|2 2|TRANSFER m -> e 1|2|2|1681479837.7154398|                                                                               ,572357.0490405117
ask|2 2|TRANSFER m -> e 1|2|2|1681479837.7154398|                                                                               ,542293.8505050505
feedback|2 2|3|1|2|1681479837.717465|                                                                                           ,800105.6810730253
feedback|2 2|3|1|2|1681479837.717465|                                                                                           ,590617.0649064906
decided|2 2|5|3|2|1681479837.717639|                                                                                            ,113287.8058662165
decided|2 2|5|3|2|1681479837.717639|                                                                                            ,117092.89247546346
feedback|2 2|5|3|2|1681479837.719009|                                                                                           ,97933.40240788033
feedback|2 2|5|3|2|1681479837.719009|                                                                                           ,90397.52685637312
feedback|1 4|5|2|2|1681479838.3536167|                                                                                          ,161029.0677864427
feedback|1 4|5|2|2|1681479838.3536167|                                                                                          ,306083.7582668187
ask|1 4|TRANSFER e -> c 51|4|2|1681479838.3542259|                                                                              ,35632.236808920155
feedback|1 4|6|3|2|1681479838.3565676|                                                                                          ,20254.693729721574
ask|1 4|TRANSFER e -> c 51|4|2|1681479838.3542259|                                                                              ,13764.509075992206
decided|1 4|6|3|2|1681479838.3654563|                                                                                           ,239888.70062555853
feedback|1 4|6|3|2|1681479838.3565676|                                                                                          ,14598.404176636937
decided|1 4|6|3|2|1681479838.3654563|                                                                                           ,63565.10916410135
ask|2 3|TRANSFER m -> z 1|3|2|1681479838.8386943|                                                                               ,352046.49967213115
ask|2 3|TRANSFER m -> z 1|3|2|1681479838.8386943|                                                                               ,434713.2890688259
feedback|2 3|7|3|2|1681479838.841695|                                                                                           ,473848.99558693735
feedback|2 3|7|3|2|1681479838.841695|                                                                                           ,421736.7729772192
decided|2 3|7|3|2|1681479838.8424442|                                                                                           ,91977.19924618812
decided|2 3|7|3|2|1681479838.8424442|                                                                                           ,64574.32186673082
feedback|2 3|6|1|2|1681479838.8451285|                                                                                          ,53735.45310779702
feedback|2 3|6|1|2|1681479838.8451285|                                                                                          ,53113.46576968738
feedback|1 5|7|2|2|1681479839.1984603|                                                                                          ,691843.9587628866
feedback|1 5|7|2|2|1681479839.1984603|                                                                                          ,967334.9765765766
ask|1 5|TRANSFER c -> f 10|5|2|1681479839.1985908|                                                                              ,147898.32286501376
ask|1 5|TRANSFER c -> f 10|5|2|1681479839.1985908|                                                                              ,60390.42879640045
feedback|1 5|8|3|2|1681479839.1991339|                                                                                          ,96196.18562981545
feedback|1 5|8|3|2|1681479839.1991339|                                                                                          ,52439.0420003907
decided|1 5|8|3|2|1681479839.2023265|                                                                                           ,1075893.6112224448
decided|1 5|8|3|2|1681479839.2023265|                                                                                           ,704555.0026246719
feedback|1 6|9|2|2|1681479839.3861737|                                                                                          ,671088.64
feedback|1 6|9|2|2|1681479839.3861737|                                                                                          ,871543.6883116884
ask|1 6|TRANSFER c -> o 19|6|2|1681479839.3862424|                                                                              ,87595.18877467776
feedback|1 6|9|3|2|1681479839.3872406|                                                                                          ,88257.58868979123
ask|1 6|TRANSFER c -> o 19|6|2|1681479839.3862424|                                                                              ,40973.12920705182
feedback|1 6|9|3|2|1681479839.3872406|                                                                                          ,43053.00016038492
decided|1 6|9|2|2|1681479839.3913581|                                                                                           ,1063110.7168316832
decided|1 6|9|2|2|1681479839.3913581|                                                                                           ,725501.2324324325
feedback|1 7|10|2|2|1681479839.6826916|                                                                                         ,208493.55805825244
feedback|1 7|10|2|2|1681479839.6826916|                                                                                         ,293372.0830601093
ask|1 7|DEPOSIT y 75|7|2|1681479839.6832252|                                                                                    ,37182.00096959623
ask|1 7|DEPOSIT y 75|7|2|1681479839.6832252|                                                                                    ,27309.16689556946
feedback|1 7|10|3|2|1681479839.68689|                                                                                           ,35140.130383558055
feedback|1 7|10|3|2|1681479839.68689|                                                                                           ,28318.96360375567
decided|1 7|10|2|2|1681479839.6955273|                                                                                          ,401248.81315396115
decided|1 7|10|2|2|1681479839.6955273|                                                                                          ,409512.51868802443
ask|2 4|TRANSFER z -> b 1|4|2|1681479840.7640316|                                                                               ,195510.164603059
ask|2 4|TRANSFER z -> b 1|4|2|1681479840.7640316|                                                                               ,254924.45963912632
feedback|2 4|11|3|2|1681479840.7705579|                                                                                         ,164281.1848225214
feedback|2 4|11|3|2|1681479840.7705579|                                                                                         ,250757.08173750583
decided|2 4|11|3|2|1681479840.7716358|                                                                                          ,51681.83596457451
decided|2 4|11|3|2|1681479840.7716358|                                                                                          ,44088.93093536996
feedback|2 4|8|1|2|1681479840.775296|                                                                                           ,45524.54099889765
feedback|2 4|8|1|2|1681479840.775296|                                                                                           ,48899.80071044722
feedback|3 2|11|2|2|1681479840.9680343|                                                                                         ,460438.17495711835
feedback|3 2|11|2|2|1681479840.9680343|                                                                                         ,252526.2991533396
ask|3 2|TRANSFER y -> l 1|2|2|1681479840.9684458|                                                                               ,57229.60366698646
feedback|3 2|12|1|2|1681479840.9700336|                                                                                         ,42170.36462178933
ask|3 2|TRANSFER y -> l 1|2|2|1681479840.9684458|                                                                               ,20584.751811663664
decided|3 2|12|1|2|1681479840.9763265|                                                                                          ,396507.3205317578
feedback|3 2|12|1|2|1681479840.9700336|                                                                                         ,21349.30258082475
decided|3 2|12|1|2|1681479840.9763265|                                                                                          ,89822.80609001171
ask|2 5|TRANSFER e -> s 1|5|2|1681479841.4303842|                                                                               ,198107.347601476
ask|2 5|TRANSFER e -> s 1|5|2|1681479841.4303842|                                                                               ,257492.04412470025
feedback|2 5|12|3|2|1681479841.436224|                                                                                          ,251461.78548009368
feedback|2 5|12|3|2|1681479841.436224|                                                                                          ,226527.81097046414
decided|2 5|13|1|2|1681479841.4372272|                                                                                          ,39224.87849784467
decided|2 5|13|1|2|1681479841.4372272|                                                                                          ,31159.07788740569
feedback|2 5|13|1|2|1681479841.4408028|                                                                                         ,37580.21223575529
feedback|2 5|13|1|2|1681479841.4408028|                                                                                         ,35644.06532996946
ask|2 6|DEPOSIT h 41|6|2|1681479842.3710053|                                                                                    ,249707.40093023257
ask|2 6|DEPOSIT h 41|6|2|1681479842.3710053|                                                                                    ,184809.26402753874
feedback|2 6|14|1|2|1681479842.377496|                                                                                          ,151872.9595473833
feedback|2 6|14|1|2|1681479842.377496|                                                                                          ,100745.15143554138
decided|2 6|14|1|2|1681479842.3778036|                                                                                          ,38847.388712011576
decided|2 6|14|1|2|1681479842.3778036|                                                                                          ,41415.63773817789
feedback|2 6|14|3|2|1681479842.3824782|                                                                                         ,44821.41526131241
feedback|2 6|14|3|2|1681479842.3824782|                                                                                         ,41495.66486319369
feedback|1 8|13|2|2|1681479842.960867|                                                                                          ,168721.21684475173
feedback|1 8|13|2|2|1681479842.960867|                                                                                          ,259357.92850241545
ask|1 8|TRANSFER y -> j 3|8|2|1681479842.9614224|                                                                               ,47956.3119249665
ask|1 8|TRANSFER y -> j 3|8|2|1681479842.9614224|                                                                               ,36104.29804976463
feedback|1 8|15|3|2|1681479842.9639726|                                                                                         ,45217.7976922429
feedback|1 8|15|3|2|1681479842.9639726|                                                                                         ,50581.393631053324
decided|1 8|15|3|2|1681479842.9734783|                                                                                          ,269108.22656641604
decided|1 8|15|3|2|1681479842.9734783|                                                                                          ,462023.16006884683
feedback|3 3|16|2|2|1681479845.0616198|                                                                                         ,358152.70980653766
feedback|3 3|16|2|2|1681479845.0616198|                                                                                         ,177185.1194719472
ask|3 3|TRANSFER y -> r 2|3|2|1681479845.0621219|                                                                               ,44825.15755197462
feedback|3 3|15|1|2|1681479845.0639894|                                                                                         ,41559.90958352686
ask|3 3|TRANSFER y -> r 2|3|2|1681479845.0621219|                                                                               ,18594.86395123303
feedback|3 3|15|1|2|1681479845.0639894|                                                                                         ,20697.44061066348
decided|3 3|16|2|2|1681479845.0707428|                                                                                          ,582289.4924078091
decided|3 3|16|2|2|1681479845.0707428|                                                                                          ,263172.0156862745
feedback|1 9|17|2|2|1681479846.1053543|                                                                                         ,760440.3852691218
feedback|1 9|17|2|2|1681479846.1053543|                                                                                         ,667749.8905472637
ask|1 9|DEPOSIT e 52|9|2|1681479846.1054208|                                                                                    ,98798.47478836952
ask|1 9|DEPOSIT e 52|9|2|1681479846.1054208|                                                                                    ,40199.9934107076
feedback|1 9|16|3|2|1681479846.106243|                                                                                          ,60126.656064508905
feedback|1 9|16|3|2|1681479846.106243|                                                                                          ,38510.215336059104
decided|1 9|17|2|2|1681479846.1102154|                                                                                          ,795364.314074074
decided|1 9|17|2|2|1681479846.1102154|                                                                                          ,930452.1871750433
feedback|1 10|18|2|2|1681479847.174659|                                                                                         ,1046531.992202729
feedback|1 10|18|2|2|1681479847.174659|                                                                                         ,1737446.3171521036
ask|1 10|DEPOSIT f 91|10|2|1681479847.1747637|                                                                                  ,246837.20091954022
ask|1 10|DEPOSIT f 91|10|2|1681479847.1747637|                                                                                  ,84043.66186599874
feedback|1 10|18|3|2|1681479847.1751797|                                                                                        ,148347.86184028737
feedback|1 10|18|3|2|1681479847.1751797|                                                                                        ,82761.04701711115
decided|1 10|18|2|2|1681479847.1768615|                                                                                         ,846799.5457413249
decided|1 10|18|2|2|1681479847.1768615|                                                                                         ,265121.43802469136
feedback|3 4|19|2|2|1681479847.3936424|                                                                                         ,924046.3201376937
feedback|3 4|19|2|2|1681479847.3936424|                                                                                         ,1201053.4944071588
ask|3 4|DEPOSIT w 22|4|2|1681479847.3937252|                                                                                    ,222583.2968490879
ask|3 4|DEPOSIT w 22|4|2|1681479847.3937252|                                                                                    ,173632.2483829237
feedback|3 4|17|1|2|1681479847.3944864|                                                                                         ,189908.35231694375
feedback|3 4|17|1|2|1681479847.3944864|                                                                                         ,150005.84297289746
decided|3 4|19|2|2|1681479847.3961728|                                                                                          ,657124.7392900856
decided|3 4|19|2|2|1681479847.3961728|                                                                                          ,1538312.0687679083
feedback|3 5|20|2|2|1681479847.4271715|                                                                                         ,990536.73800738
feedback|3 5|20|2|2|1681479847.4271715|                                                                                         ,970833.4755877034
ask|3 5|TRANSFER r -> s 1|5|2|1681479847.4272995|                                                                               ,186478.26050712052
ask|3 5|TRANSFER r -> s 1|5|2|1681479847.4272995|                                                                               ,143740.53868808568
feedback|3 5|20|1|2|1681479847.4279475|                                                                                         ,198107.347601476
feedback|3 5|20|1|2|1681479847.4279475|                                                                                         ,92119.23678792038
decided|3 5|20|1|2|1681479847.431281|                                                                                           ,1483068.817679558
decided|3 5|20|1|2|1681479847.431281|                                                                                           ,1024562.8091603053
feedback|1 11|21|2|2|1681479848.6919405|                                                                                        ,1093423.4460285131
feedback|1 11|21|2|2|1681479848.6919405|                                                                                        ,1547178.4207492794
ask|1 11|TRANSFER f -> w 78|11|2|1681479848.6919794|                                                                            ,207687.00657640232
ask|1 11|TRANSFER f -> w 78|11|2|1681479848.6919794|                                                                            ,136054.46325392803
feedback|1 11|19|3|2|1681479848.692609|                                                                                         ,663622.8825710753
feedback|1 11|19|3|2|1681479848.692609|                                                                                         ,212790.69044787952
decided|1 11|21|2|2|1681479848.6944532|                                                                                         ,1266204.9811320754
decided|1 11|21|2|2|1681479848.6944532|                                                                                         ,932067.5555555555
feedback|3 6|22|2|2|1681479849.3842459|                                                                                         ,245820.01465201465
feedback|3 6|22|2|2|1681479849.3842459|                                                                                         ,242270.26714801445
ask|3 6|TRANSFER l -> p 1|6|2|1681479849.384663|                                                                                ,32567.23760994844
ask|3 6|TRANSFER l -> p 1|6|2|1681479849.384663|                                                                                ,42087.7165255566
feedback|3 6|21|1|2|1681479849.3880496|                                                                                         ,42396.818447445316
feedback|3 6|21|1|2|1681479849.3880496|                                                                                         ,35660.638458983725
decided|3 6|22|2|2|1681479849.394729|                                                                                           ,448888.72240802675
decided|3 6|22|2|2|1681479849.394729|                                                                                           ,297435.40831024933
feedback|1 12|23|2|2|1681479849.4635265|                                                                                        ,707339.8050065876
feedback|1 12|23|2|2|1681479849.4635265|                                                                                        ,922458.6116838488
ask|1 12|TRANSFER b -> k 1|12|2|1681479849.4636667|                                                                             ,121299.34749209219
ask|1 12|TRANSFER b -> k 1|12|2|1681479849.4636667|                                                                             ,44926.43615062762
feedback|1 12|22|3|2|1681479849.4644322|                                                                                        ,135847.9028340081
feedback|1 12|22|3|2|1681479849.4644322|                                                                                        ,43174.178689183755
decided|1 12|23|2|2|1681479849.4681394|                                                                                         ,845466.0031496063
decided|1 12|23|2|2|1681479849.4681394|                                                                                         ,784898.9941520467
ask|2 7|TRANSFER b -> c 1|7|2|1681479850.165659|                                                                                ,233219.33622936576
ask|2 7|TRANSFER b -> c 1|7|2|1681479850.165659|                                                                                ,258359.43792107797
feedback|2 7|24|3|2|1681479850.1707013|                                                                                         ,206966.4271395528
feedback|2 7|24|3|2|1681479850.1707013|                                                                                         ,227584.10852055956
decided|2 7|24|3|2|1681479850.1717212|                                                                                          ,36944.04844481145
decided|2 7|24|3|2|1681479850.1717212|                                                                                          ,37871.81941309255
feedback|2 7|23|1|2|1681479850.1761816|                                                                                         ,48046.439233935926
feedback|2 7|23|1|2|1681479850.1761816|                                                                                         ,51174.426842055094
feedback|1 13|24|2|2|1681479851.3057637|                                                                                        ,321865.0551558753
feedback|1 13|24|2|2|1681479851.3057637|                                                                                        ,598518.2965440357
ask|1 13|TRANSFER c -> y 19|13|2|1681479851.3060553|                                                                            ,84800.33359658821
feedback|1 13|25|3|2|1681479851.3070993|                                                                                        ,47649.85461968581
ask|1 13|TRANSFER c -> y 19|13|2|1681479851.3060553|                                                                            ,23651.742896162825
decided|1 13|25|3|2|1681479851.3129683|                                                                                         ,750868.4083916084
feedback|1 13|25|3|2|1681479851.3070993|                                                                                        ,23903.424398931435
decided|1 13|25|3|2|1681479851.3129683|                                                                                         ,111964.73660062565
ask|2 8|TRANSFER c -> w 1|8|2|1681479852.029718|                                                                                ,189039.05352112677
ask|2 8|TRANSFER c -> w 1|8|2|1681479852.029718|                                                                                ,216917.5402020202
feedback|2 8|26|3|2|1681479852.0356753|                                                                                         ,175047.57482882295
feedback|2 8|26|3|2|1681479852.0356753|                                                                                         ,283758.41014799156
decided|2 8|26|3|2|1681479852.0366783|                                                                                          ,57174.75101171459
decided|2 8|26|3|2|1681479852.0366783|                                                                                          ,40678.202151841186
feedback|2 8|25|1|2|1681479852.0410857|                                                                                         ,65801.06777791397
feedback|2 8|25|1|2|1681479852.0410857|                                                                                         ,54950.963357215966
ask|2 9|TRANSFER w -> p 1|9|2|1681479852.132826|                                                                                ,246837.20091954022
ask|2 9|TRANSFER w -> p 1|9|2|1681479852.132826|                                                                                ,252526.2991533396
feedback|2 9|27|3|2|1681479852.1380994|                                                                                         ,352740.4152431012
feedback|2 9|27|3|2|1681479852.1380994|                                                                                         ,249591.3119479312
decided|2 9|27|1|2|1681479852.140126|                                                                                           ,102652.18202676864
decided|2 9|27|1|2|1681479852.140126|                                                                                           ,289730.6594711279
feedback|2 9|27|1|2|1681479852.142943|                                                                                          ,65849.49245676438
feedback|2 9|27|1|2|1681479852.142943|                                                                                          ,69157.65966765425
ask|2 10|DEPOSIT b 69|10|2|1681479852.4791439|                                                                                  ,512281.40458015265
ask|2 10|DEPOSIT b 69|10|2|1681479852.4791439|                                                                                  ,714874.7163781625
feedback|2 10|28|3|2|1681479852.4805307|                                                                                        ,1275227.8194774347
feedback|2 10|28|3|2|1681479852.4805307|                                                                                        ,1211898.2212189615
decided|2 10|28|1|2|1681479852.4807804|                                                                                         ,410451.76758409786
decided|2 10|28|1|2|1681479852.4807804|                                                                                         ,180279.0167897918
feedback|2 10|28|1|2|1681479852.4818864|                                                                                        ,157117.6213052385
feedback|2 10|28|1|2|1681479852.4818864|                                                                                        ,137659.2082051282
feedback|3 7|26|2|2|1681479852.5041966|                                                                                         ,1106950.3340206186
feedback|3 7|26|2|2|1681479852.5041966|                                                                                         ,1120816.1002087682
ask|3 7|TRANSFER s -> e 1|7|2|1681479852.5042796|                                                                               ,246158.14397065566
ask|3 7|TRANSFER s -> e 1|7|2|1681479852.5042796|                                                                               ,188839.5750967288
feedback|3 7|29|1|2|1681479852.5051668|                                                                                         ,133849.64148591374
feedback|3 7|29|1|2|1681479852.5051668|                                                                                         ,71726.24074816299
decided|3 7|29|1|2|1681479852.5077355|                                                                                          ,1369568.6530612244
decided|3 7|29|1|2|1681479852.5077355|                                                                                          ,1195703.5902004454
feedback|1 14|30|2|2|1681479852.8143852|                                                                                        ,142330.57051961825
feedback|1 14|30|2|2|1681479852.8143852|                                                                                        ,275884.33299075026
ask|1 14|TRANSFER e -> w 24|14|2|1681479852.81472|                                                                              ,13662.57569665352
ask|1 14|TRANSFER e -> w 24|14|2|1681479852.81472|                                                                              ,30196.912762247597
feedback|1 14|29|3|2|1681479852.8176866|                                                                                        ,17177.120844664852
feedback|1 14|29|3|2|1681479852.8176866|                                                                                        ,15761.579237860373
decided|1 14|30|2|2|1681479852.8266554|                                                                                         ,594541.430786268
decided|1 14|30|2|2|1681479852.8266554|                                                                                         ,384302.7287043665
ask|2 11|TRANSFER b -> p 30|11|2|1681479853.4110217|                                                                            ,233118.06860616588
ask|2 11|TRANSFER b -> p 30|11|2|1681479853.4110217|                                                                            ,247520.01475334255
feedback|2 11|31|3|2|1681479853.4170752|                                                                                        ,141059.09406200735
feedback|2 11|31|3|2|1681479853.4170752|                                                                                        ,186154.9625520111
decided|2 11|31|3|2|1681479853.417473|                                                                                          ,39059.360640232815
decided|2 11|31|3|2|1681479853.417473|                                                                                          ,35334.40252731341
feedback|2 11|30|1|2|1681479853.4208071|                                                                                        ,34607.80712950429
feedback|2 11|30|1|2|1681479853.4208071|                                                                                        ,34688.306002455254
ask|2 12|DEPOSIT p 62|12|2|1681479855.0754788|                                                                                  ,215092.5128205128
ask|2 12|DEPOSIT p 62|12|2|1681479855.0754788|                                                                                  ,251226.4445484324
feedback|2 12|32|3|2|1681479855.0804|                                                                                           ,146047.58215451578
feedback|2 12|32|3|2|1681479855.0804|                                                                                           ,209388.03120124806
decided|2 12|32|1|2|1681479855.082015|                                                                                          ,73272.95100313908
decided|2 12|32|1|2|1681479855.082015|                                                                                          ,57666.048549946296
feedback|2 12|32|1|2|1681479855.086509|                                                                                         ,35549.65646934181
feedback|2 12|32|1|2|1681479855.086509|                                                                                         ,38070.551127499646
feedback|1 15|31|2|2|1681479855.976183|                                                                                         ,169949.63975941754
feedback|1 15|31|2|2|1681479855.976183|                                                                                         ,329773.28746928746
ask|1 15|DEPOSIT y 90|15|2|1681479855.9767787|                                                                                  ,38413.77447052089
ask|1 15|DEPOSIT y 90|15|2|1681479855.9767787|                                                                                  ,15235.999432414792
feedback|1 15|33|3|2|1681479855.9789708|                                                                                        ,26764.59005932499
feedback|1 15|33|3|2|1681479855.9789708|                                                                                        ,18136.305384771298
decided|1 15|33|3|2|1681479855.9871078|                                                                                         ,419758.33620015637
decided|1 15|33|3|2|1681479855.9871078|                                                                                         ,507439.42533081287
ask|2 13|TRANSFER b -> f 1|13|2|1681479860.8802059|                                                                             ,280496.8192267503
ask|2 13|TRANSFER b -> f 1|13|2|1681479860.8802059|                                                                             ,228164.43348916277
feedback|2 13|33|1|2|1681479860.8858998|                                                                                        ,243699.9146618248
feedback|2 13|33|1|2|1681479860.8858998|                                                                                        ,256753.18603538978
decided|2 13|34|3|2|1681479860.8870213|                                                                                         ,39948.72475630627
decided|2 13|34|3|2|1681479860.8870213|                                                                                         ,55720.904203425016
feedback|2 13|34|3|2|1681479860.8916924|                                                                                        ,60560.73457416808
feedback|2 13|34|3|2|1681479860.8916924|                                                                                        ,68087.62358909321
